DDA_pos,DDA_para,DDA_sec,DA_pos,DA_para,DA_sec,text_DDA,text_DA
Rec17,1,1,Rec15,1,2,"To ensure that the data are shared in compliance with Regulation (EU) 2016/679, Digital Services Coordinators may consult the relevant supervisory authorities established pursuant to Article 51 of Regulation (EU) 2016/679 which remain ultimately competent to assess the compliance with Regulation (EU) 2016/679. With a view to ensure that the level of protection of natural persons guaranteed by Regulation (EU) 2016/679 is not undermined where sharing the data with the vetted researchers will involve international data transfers, such consultation should be compulsory, unless the international transfer is covered by an implementing act adopted pursuant to Article 45(3) Regulation (EU) 2016/679, ensuring an adequate level of protection.","To ensure that personal data can be accessed in compliance with Regulation (EU) 2016/679, Digital Services Coordinators should be allowed to consult the relevant supervisory authorities established pursuant to Article 51 of that Regulation, which remain competent to assess compliance with Regulation (EU) 2016/679."
Rec18,1,1,Rec18,1,1,"To ensure that the data access modalities are appropriate to address particular sensitivities in terms of data protection, data security or confidentiality, on the basis of the information received in the data access application, the Digital Services Coordinator of establishment may require in the reasoned request that data are shared via secure processing environments. In such cases, the Digital Services Coordinator of establishment should ensure that the chosen environment is in line with the latest technological developments and should require the relevant documentation attesting that the necessary security and technical measures are in place and that controls are in place to monitor the effectiveness of such measures, with the purpose of ensuring that such environments are appropriate to process sensitive data, while at the same time allowing the vetted researchers to attain the objectives of their research.","To ensure that the data access modalities are appropriate to address specific sensitivities in terms of data protection, of data security or of confidentiality, the Digital Services Coordinator of establishment, on the basis of the information received in the data access application, should be able to require, that access to data be provided via secure processing environments. In such cases, the Digital Services Coordinator of establishment should ensure that the chosen environment operates in line with the most appropriate technology and it allows the vetted researchers to attain the objectives of their research."
Rec19,1,1,Rec19,1,1,"In order to ensure consistency with regard to the information transmitted by the Digital Services Coordinators of establishment to the data providers, the structure of the reasoned requests should be standardised.","In order to ensure consistency of the information transmitted by the Digital Services Coordinators of establishment to the data providers, it is necessary to specify the content of the reasoned requests."
Rec20,1,1,Rec20,1,1,"In order to safeguard the interests of data providers and to reduce the frequency of amendment requests over time, also reducing the burden of analysing similar data access applications for Digital Services Coordinators, an overview of each reasoned request, including any amendments and updates, should be made publicly available in the DSA data access portal, by the Digital Services Coordinator of establishment.","In order to safeguard the interests of data providers and to reduce the frequency of amendment requests over time and facilitate the formulation of relevant data access applications by researchers, an overview of each reasoned request, including any amendments and updates to it, should be made publicly available in the DSA data access portal by the Digital Services Coordinator of establishment who issued the respective reasoned requests."
Rec21,1,1,Rec21,1,1,"In order to ensure that the Digital Services Coordinator of establishment has the relevant information to evaluate an amendment request, the data provider should explain the reasons for such request, detailing the grounds to propose to modify the access to the specific data requested or to propose alternative data. In the context of amendment requests, the Digital Services Coordinator of establishment should have regard to the legitimate interests of data providers, including the protection of their trade secrets, confidentiality and security.","In order to ensure that the Digital Services Coordinator of establishment has the relevant information to evaluate an amendment request and to facilitate a uniform approach in the evaluation of amendment requests, the data provider should be required to specify the reasons for such request, as referred to in Article 40(5) of Regulation (EU) 2022/2065. More specifically, when assessing an amendment request submitted on the basis of a data provider’s lack of access to the data, the Digital Service Coordinator of establishment should be in a position to examine whether the alleged impossibility is duly justified, for example by the non-existence of the requested data, or by technical restrictions such as encryption and it should have the information necessary to consider whether the lack of access is permanent or temporary. It should be clear, in this respect, that commercial considerations should not be considered as a ground to automatically refuse access to requested data butrather as a ground to modify the means of providing access to the data, which may result in imposing additional data security and confidentiality requirements."
Rec22,1,1,Rec22,1,1,"In order to ensure an efficient resolution of disputes within the framework laid down for sharing data to fulfil the purposes referred to in Article 40(4) of Regulation (EU) 2022/2065, in cases where a request for amendment is rejected by the Digital Services Coordinator of establishment, the data provider may suggest a mediation and identify a mediator to that end. Such mediator should support an agreement between the data provider and the Digital Services Coordinator of establishment on a specific reasoned request.","In order to ensure an efficient resolution of disputes and to encourage the identification of a mutually acceptable solution, following an amendment request, data providers should be able to ask the Digital Services Coordinators of establishment to participate in mediation. Such participation should be voluntary throughout the entire mediation process and should not result in any binding outcome for the Digital Services Coordinator of establishment, which remain competent to decide on the amendment requests."
Rec23,1,1,Rec25,1,1,"To inform decisions related to the data access process, Digital Services Coordinators may decide to request expert opinions on specific elements of the data access process, such as the determination of the access modalities, including appropriate interfaces, the formulation of the reasoned request and any amendment requests by the data provider. The experts and bodies consulted should possess proven expertise on the subject matter and should be independent. In particular, they should not have any conflict of interests, deriving for example from any ties with the applicant researchers or with the data provider.","For the purposes of facilitating informed and effective decision-making in relation to the data access process, Digital Services Coordinators should have the possibility to request expert opinions on specific elements of the data access process, such as the determination of the access modalities, including appropriate interfaces, the formulation of the reasoned request and any amendment requests by the data provider. The experts consulted should possess proven expertise in the matter on which their opinion is sought and should be independent. In particular, they should not have any conflict of interests, deriving for example from any ties with the applicant researchers or with the data provider."
,,,Rec23,1,1,,"In order to prevent that mediation indefinitely prolong the data access process, the transmission of the written request for mediation, the selection of the mediator and the mediation process itself should take place within specified timeframes. The Digital Services Coordinators of establishment should set a time limit for the mediation process in relation to a given reasoned request and the mediator should have the authority to terminate the mediation process in specific circumstances."
,,,Rec24,1,1,,"In order to maintain mutual trust among the parties involved in the mediation, the Digital Services Coordinator of establishment should ensure that the proposed mediator meet the requirements of impartiality, independence and possess relevant expertise on the subject matter of the mediation."
Rec24,1,1,Rec26,1,1,"To increase transparency and allow Digital Services Coordinators to build on their expertise acquired over time, each expert consultation request and respective outcome should be registered in AGORA.","In order to increase transparency and allow Digital Services Coordinators to build on their expertise acquired over time, each expert consultation request and the follow-up generated by it should be registered in AGORA."
Rec25,1,1,Rec27,1,1,"In order to allow for the effective monitoring of compliance with the conditions set out in the reasoned request, the data provider should notify the Digital Services Coordinator of establishment when the vetted researchers get access to the data and when such access is terminated by the data provider.","In order to facilitate the effective supervision of compliance with the conditions set out in the reasoned request, the data provider should notify the Digital Services Coordinator of establishment within three working days of the date on which access has been provided to the vetted researchers and of the date of the access its termination."
Rec26,1,1,Rec28,1,1,"In order to enable the navigation and usability of the accessed data for the purposes of the research and to put them in the proper context, data providers should provide vetted researchers with the relevant metadata and documentation describing the data made available, such as codebooks, changelogs and architectural documentation.","In order to enable the vetted researchers to use the requested data for the purposes of the research and to provide relevant context information, data providers should provide vetted researchers with the relevant metadata and documentation describing the data made available, such as codebooks, changelogs and architectural documentation."
Rec27,1,1,Rec29,1,1,"In order to allow for meaningful research to be conducted by the vetted researchers, also by enabling the combination of the data requested with data available through other sources, data providers should not impose any restrictions on the analytical tools employed by vetted researchers, including relevant software libraries, and should not impose archiving, storage, refresh and deletion requirements, unless they are explicitly mentioned in the access modalities, identified in the reasoned request.","In order to facilitate meaningful research by the vetted researchers, also by enabling the combination of the data requested with data available through other sources, data providers should not impose any restrictions on the analytical tools employed by vetted researchers, including relevant software libraries, and should not impose archiving, storage, refresh and deletion requirements, unless they are explicitly mentioned in the access modalities identified in the reasoned request."
Rec28,1,1,Rec30,1,1,"Where the data provided to the vetted researchers include personal data, the data provider should make use of the possibilities offered by Regulation (EU) 2016/679. In particular, Article 40(4) of Regulation (EU) 2022/2065 creates a legal obligation in the sense of Article 6(1), point (c) of Regulation (EU) 2016/679 for any processing of personal data necessary for the data provider to provide access to the data specified in the reasoned request. Where special categories of personal data within the meaning of Article 9 of Regulation (EU) 2016/679 are to be processed, the data provider should demonstrate that the processing meets the requirements of Article 6(1), point (c) of Regulation (EU) 2016/679, as well as Article 9(2), point (g) of Regulation (EU) 2016/679.","Where the data provided to the vetted researchers include personal data within the meaning of Article 4 of Regulation (EU) 2016/679, the data provider should observe the rules laid down in that Regulation. In particular, Article 40(4) of Regulation (EU) 2022/2065 creates a legal obligation within the meaning of Article 6(1), point (c) of Regulation (EU) 2016/679 for any processing of personal data necessary for the data provider to provide access to the data specified in the reasoned request. Where special categories of personal data within the meaning of Article 9 of Regulation (EU) 2016/679 are to be processed, this Regulation meets the requirement of Article 9(2), point (g) of Regulation (EU) 2016/679."
,,,Rec31,1,1,,The European Data Protection Supervisor was consulted in accordance with Article 42(1) of Regulation (EU) 2018/1725 of the European Parliament and of the Council and delivered an opinion on 4 December 2024.
,,,Rec32,1,1,,"After consulting the European Board for Digital Services in accordance with Article 40(13) of Regulation (EU) 2022/2065 and following its endorsement, HAS ADOPTED THIS REGULATION:"
Art1,title,0,Art1,title,0,Subject Matter,Subject Matter
Art1,1,1,Art1,1,1,"This Regulation lays down procedures and technical conditions for providing vetted researchers with access to data held by providers of very large online platforms and of very large online search engines, pursuant to Article 40(4) of Regulation (EU) 2022/2065, in particular:","This Regulation lays down procedures and technical conditions for providing vetted researchers with access to data held by providers of very large online platforms and of very large online search engines, pursuant to Article 40(4) of Regulation (EU) 2022/2065, in particular:"
Art1,1(a),2,Art1,1(a),2,the technical conditions for the development and functioning of a data access portal for the purposes of Regulation (EU) 2022/2065;,the technical conditions for the development and functioning of a data access portal;
Art1,1(b),3,Art1,1(b),3,the procedures and technical conditions for the management of the data access process by Digital Services Coordinators and data providers;,the procedures and technical conditions for the management of the data access process by Digital Services Coordinators and data providers;
Art1,1(c),4,Art1,1(c),4,the requirements for the formulation of reasoned requests and the assessment of amendment requests;,the requirements for the formulation of reasoned requests and the assessment of amendment requests;
Art1,1(d),5,Art1,1(d),5,the technical conditions for the provision of access to data by the data providers.,the technical conditions for the provision of access to data by the data providers.
Art2,title,0,Art2,title,0,Definitions,Definitions
Art2,1,1,Art2,1,1,"For the purposes of this Regulation, the definitions set out in Article 4 of Regulation (EU) 2016/679, Article 3 of Regulation (EU) 2018/1725 and Article 3 of Regulation (EU) 2022/2065 shall apply. The following definitions shall also apply:","For the purposes of this Regulation, the definitions in Article 4 of Regulation (EU) 2016/679 and Article 3 of Regulation (EU) 2018/1725 of the European Parliament and of the Council shall apply. The following definitions shall also apply:"
Art2,1(1),2,Art2,1(a),2,‘data access application’ means the information and relevant documentation submitted to the Digital Services Coordinator of establishment or the Digital Services Coordinator of the Member State of the research organisation to which the principal researcher is affiliated to obtain vetted researcher status for a specific research project involving access to data from a data provider;,"‘data access application’ means the information and relevant documentation submitted by applicant researchers to the Digital Services Coordinator of establishment or the Digital Services Coordinator of the Member State of the research organisation, to which the principal researcher is affiliated, to obtain the status of ‘vetted researcher’ as referred to in Article 40(8), first subparagraph, of Regulation (EU) 2022/2065, for a specific research project involving access to data from a data provider;"
Art2,1(2),3,Art2,1(b),3,‘data access process’ means procedures that may lead to the sharing of the data pursuant to Article 40(4) of Regulation (EU) 2022/2065;,‘data access process’ means the steps and procedures that may lead to the provision of access to the data as referred to in Article 40(4) of Regulation (EU) 2022/2065;
Art2,1(3),4,Art2,1(c),4,"‘applicant researcher’ means any natural person applying for access to data, either individually, in a group or as part of an entity;","‘applicant researcher’ means any natural person applying for access to data as referred to in Article 40(4) of Regulation (EU) 2022/2065, either individually, in a group or as part of an entity;"
Art2,1(4),5,Art2,1(c),5,‘principal researcher means the applicant researcher who submits the data access application and assumes the responsibility for the completeness and accuracy of the information in and the supporting documentation of a data access application in their individual capacity or on behalf of an entity or a group of applicant researchers and acts as a contact point for the data access application when the vetted status is granted;,‘principal researcher’ means the applicant researcher who submits the data access application in their individual capacity or on behalf of an entity or a group of applicant researchers;
Art2,1(5),6,Art2,1(d),6,"‘data provider’ means a provider of a very large online platform or of a very large online search engine designated as such in accordance with Article 33(4) of Regulation (EU) 2022/2065, that controls the data to which access is requested pursuant to Article 40(4) of Regulation (EU) 2022/2065;","‘data provider’ means a provider of a very large online platform or of a very large online search engine designated as such in accordance with Article 33(4) of Regulation (EU) 2022/2065, to which a reasoned request might be addressed;"
Art2,1(6),7,,,,"‘access modalities’ means any appropriate interface pursuant to Article 40(7) of Regulation (EU) 2022/2065, as well as any legal, organisational and technical conditions determining access to the data requested;",
Art2,1(7),8,Art2,1(e),7,‘reasoned request’ means a reasoned request pursuant to Article 40(4) of Regulation (EU) 2022/2065;,‘reasoned request’ means a reasoned request for data access pursuant to Article 40(4) of Regulation (EU) 2022/2065;
Art2,1(8),9,Art2,1(f),8,‘amendment request’ means a request for amendment pursuant to Article 40(5) of Regulation (EU) 2022/2065 submitted by the data provider to the Digital Services Coordinator of establishment following the receipt of a reasoned request;,‘amendment request’ means a request for amendment pursuant to Article 40(5) of Regulation (EU) 2022/2065 submitted by the data provider to the Digital Services Coordinator of establishment following the receipt of a reasoned request;
Art2,1(9),10,,,,"‘DSA data access portal’ means the digital infrastructure hosted by the Commission that facilitates the management of the data access process, including the processing of relevant information;",
Art2,1(10),11,Art2,1(g),9,"‘secure processing environment’ means the secure processing environment provided by or on behalf of the data provider as defined in Article 2, point (20), of Regulation (EU) 2022/868.","‘secure processing environment’ means secure processing environment as defined in Article 2, point (20), of Regulation (EU) 2022/868 of the European Parliament and of the Council."
Art3,title,0,Art3,title,0,DSA data access portal,DSA data access portal
Art3,1,1,Art3,1,1,"The Commission shall establish the DSA data access portal, ",The Commission shall establish and host a DSA data access portal.
Art3,1,2,Art3,2,2,which shall:,The DSA data access portal shall have the following functions:
Art3,1(a),3,Art3,2(a),3,"support and streamline the management of the data access process for researchers, data providers and Digital Services Coordinators;","support and streamline the management of the data access process for researchers, data providers and Digital Services Coordinators;"
Art3,1(b),4,Art3,2(b),4,"serve as the single digital point of exchange of information on the data access process and facilitate the information exchanges pursuant to this Regulation among applicant researchers, vetted researchers, data providers, and Digital Services Coordinators.","serve as the central digital point for information on the data access process and facilitate the information exchanges pursuant to this Regulation among applicant researchers, vetted researchers, data providers and Digital Services Coordinators."
Art3,2,5,,,,The DSA data access portal shall be hosted by the Commission,
Art3,3,6,Art3,3,5,The DSA data access portal shall be interoperable with the information sharing system AGORA established by Implementing Regulation (EU) 2024/607. The Digital Services Coordinators shall have access in AGORA to the information submitted through the DSA data access portal.,The DSA data access portal shall be interoperable with the information sharing system AGORA established by Implementing Regulation (EU) 2024/607. The Digital Services Coordinators shall have access in AGORA to the information submitted through the DSA data access portal.
Art3,4,7,Art3,4,6,Data providers shall register in the DSA data access portal.,Data providers shall have an account on the DSA data access portal.
Art3,5,8,Art3,5,7,"To participate in the data access process, applicant researchers shall register in the DSA data access portal.","To participate in the data access process, applicant researchers shall have an account on the DSA data access portal."
Art3,6,9,,,,"The DSA data access portal shall consist of a publicly accessible interface and non-public dashboards accessible to applicant and vetted researchers and data providers as users who have been identified and authenticated, following the registration.",
Art4,title,0,Art4,title,0,Roles and responsibilities for processing personal data in the DSA data access portal,Roles and responsibilities for processing personal data in the DSA data access portal
Art4,1,1,Art4,2,2,"The Commission shall be a processor within the meaning of Article 3, point (12), of Regulation (EU) 2018/1725 in respect of:",The Commission shall be a processor of personal data processed within the DSA data access portal.
Art4,1(a),2,,,,personal data when registering applicant researchers and data providers in the DSA data access portal;,
Art4,1(b),3,,,,"personal data necessary for the data access process and the related sharing of information, including with AGORA.",
Art4,2,4,Art4,3,3,The responsibilities of the Commission as processor for data processing activities conducted in the DSA data access portal shall be as set out in the Annex,The responsibilities of the Commission as processor for data processing activities conducted in the DSA data access portal shall be as set out in the Annex.
Art4,3,5,Art4,1,1,Digital Services Coordinators shall be separate controllers within the meaning of Article 4(7) of Regulation (EU) 2016/679 with respect to the processing of personal data they carry out to manage the data access process.,Digital Services Coordinators shall be separate controllers with respect to the processing of personal data they carry out to manage the data access process and for publication of relevant information.
Art5,title,0,Art5,title,0,Processing of personal data in the DSA data access portal,Processing of personal data in the DSA data access portal
Art5,1,1,Art5,2,2,"The transmission, storage and other processing of personal data in the DSA data access portal shall take place only as necessary and proportionate and only for the purpose of managing the data access process. The processing of personal data shall take place in the DSA data access portal only in respect of the following categories of data subjects:",The processing of personal data shall take place in the DSA data access portal only in respect of the following categories of data subjects:
Art5,1(a),2,Art5,2(a),3,natural persons registered in the DSA data access portal;,natural persons having an account on the DSA data access portal;
Art5,1(b),3,Art5,2(b),4,natural persons whose personal information is contained in the data access application to the DSA data access portal or in any other exchange pursuant to this Regulation concerning the data access process.,natural persons whose personal data is contained in the DSA data access portal or in any other exchange pursuant to this Regulation concerning the data access process.
Art5,,4,Art5,1,1,,"Where personal data are registered in and exchanged via the DSA data access portal, the processing shall take place only in so far as it is proportionate and necessary for the purpose of the data access process and publication of relevant information."
Art5,2,5,Art5,3,5,The processing of personal data may take place in the DSA data access portal only in respect of the following categories of personal data:,The processing of personal data shall take place in the DSA data access portal only in respect of the following categories of personal data:
Art5,2(a),6,Art5,3(a),7,"name, address, contact information, contact number and user ID of the natural persons for the purpose of the registration;","identity data, such as name, user ID;"
Art5,2(b),7,Art5,3(b),6,"identification data, contact details,","contact information such as address, email address, contact details;"
Art5,2(b),8,Art5,3(c),8,"personal data contained in the documentation demonstrating the affiliation to a research organisation, and any other personal information deemed necessary for the purpose of submitting the data access application;","personal data contained in the documentation demonstrating the affiliation to a research organisation, and any other personal information deemed necessaryfor the purpose of participating in the data access process."
Art5,2(c),9,,,,logs indicating the information about the flow and movements of the exchanged data in the DSA data access portal.,
Art5,3,10,Art5,,,The DSA data access portal shall store the personal data listed under Article 5(2) of this Regulation.,
Art5,4,11,Art5,,9,The storage of data referred to in paragraph 5(3) shall be performed using information technology infrastructure located in the European Economic Area.,The processing of personal data referred to in paragraph 1 shall be performed using information technology infrastructure located in the European Economic Area.
Art5,5,12,,,,"The Commission shall ensure that data subjects can exercise their rights in accordance with Regulation (EU) 2018/1725, and shall be responsible for compliance with that Regulation for the personal data processing activities carried out on its behalf.",
Art6,title,0,Art6,title,0,Points of contact and public information on the data access process,Points of contact and public information on the data access process
Art6,1,1,Art6,1,1,"The Digital Services Coordinators shall establish a dedicated point of contact for applicant and vetted researchers as well as data providers, whose task shall be to provide information and support on the data access process pursuant to Article 40(4) of Regulation (EU) 2022/2065. The Digital Services Coordinators shall communicate their points of contact to the Commission.","Each Digital Services Coordinator and each data provider shall establish a dedicated point of contact, whose task shall be to provide information and support on the data access process."
Art6,2,2,Art6,3,3,"The Digital Services Coordinators shall make available and easily accessible on their online interfaces the points of contact established pursuant to paragraph 1, a link to the DSA data access portal and an indication of the Union languages in which they accept data access applications.","Each Digital Services Coordinator shall make available and easily findable on its online interface, the details of the point of contact established pursuant to paragraph 1 together with a link to the DSA data access portal."
Art6,3,3,Art6,2,2,Each data provider shall establish a point of contact for the data access process and communicate the contact details to their Digital Services Coordinator of establishment and to the Commission.,"The Digital Services Coordinators and data providers shall communicate their points of contact to the Commission, as soon as possible. The Commission shall publish the details of the points of contact referred to in paragraph 1 in the public interface of the DSA data access portal."
Art6,4,4,Art6,4,4,Data providers shall make available and easily accessible on their online interfaces,
Art6,4,5,Art6,4(a),5,"the details of the point of contact,",the details of the point of contact established by them pursuant to paragraph 1;
Art6,4,6,Art6,4(b),6,a link to the DSA data access portal as well as,a link to the DSA data access portal;
Art6,4,7,Art6,4(c),7,"an overview of the data inventory of their services, including examples of available datasets and ","a DSA data catalogue, which describes the data assets, that may be accessed for the purposes set out in Article 40(4) of Regulation EU 2022/2065, as well as their data structure and metadata;"
Art6,4,8,Art6,4(d),8,suggested modalities to access them,"suggested access modalities for the data in the catalogue pursuant to point (c), adequate to the level of sensitivity of the different data assets."
Art6,5,9,,,,"The points of contact shall not contain any personal data within the meaning of Article 4, point (1), of Regulation (EU) 2016/679.",
Art6,6,10,,,,The Commission shall publish the details of the points of contact referred to in paragraphs 1 and 2 in the public interface of the DSA data access portal.,The Commission shall publish the details of the points of contact referred to in paragraph 1 in the public interface of the DSA data access portal. Such points of contact shall not contain any personal data.
,,,Art6,5,9,,"The information referred to in paragraph 4, points (c) and (d), shall be regularly updated, in particular to reflect data related to the risk assessments carried out pursuant to Article 34 of Regulation (EU) 2022/2065 and the audits carried out pursuant to Article 37 of that Regulation."
Art7,title,0,Art7,title,0,Formulation of reasoned request,"
Formulation of reasoned request"
Art7,1,1,,,,"Within 5 working days from the receipt of the data access application, the Digital Services Coordinator to which the data access application has been submitted shall either confirm to the principal researcher that the application contains the information and supporting documentation listed in Article 8, or indicate which elements of the data access application require correction or completion, allowing the principal researcher to resubmit.",
Art7,2,2,Art7,1,1,"Within 21 working days starting from the day after the confirmation of completeness of the data access application to the principal researcher, the Digital Services Coordinator of establishment shall:","Within 80 working days from the submission of a data access application, the Digital Services Coordinator of establishment, taking due account of the prerequisites set out in Article 8 and, where applicable, any other assessment relevant for these purposes, shall decide whether a reasoned request can be formulated and shall undertake one of the following actions:"
Art7,2(a),3,Art7,1(a),2,"Where appropriate, formulate a reasoned request, transmit it to the data provider and inform the principal researcher of its transmission;","formulate a reasoned request, submit it to the data provider and notify the principal researcher of the submission of the reasoned request;"
Art7,2(b),4,Art7,1(b),3,or inform the principal researcher about the reasons why the reasoned request could not be formulated.,inform the principal researcher of the reasons why the reasoned request could not be formulated.
Art7,3,5,Art7,2,4,"Where, in duly justified cases, the Digital Services Coordinator of establishment needs additional time to formulate the reasoned request, it may extend the deadline referred to in paragraph 2 for a reasonable period. The Digital Services Coordinator of establishment shall notify the principal researcher of the extension and shall indicate the reasons for the delay and a new date for the transmission of the reasoned request to the data provider.","Where, in duly justified cases, the Digital Services Coordinator of establishment needs additional time to formulate a reasoned request, it shall notify the principal researcher as soon as possible and shall indicate the reasons for the delay as well as a new date for undertaking the actions referred to in paragraph 1."
Art8,title,0,Art8,title,0,Prerequisites for formulating a reasoned request,Prerequisites for formulating a reasoned request
Art8,,1,Art8,,1,The Digital Services Coordinator of establishment shall verify that the data access application includes the following elements:,The Digital Services Coordinator of establishment shall decide whether a reasoned request can be formulated taking into account the following elements:
Art8,1,2,Art8,,2,the consent from the principal researcher to be the point of contact for the data access application;,
Art8,2,3,Art8,(a),3,for each applicant researcher:,for each applicant researcher:
Art8,2(a),4,,,,the identity and contact details of the applicant researcher;,
Art8,2(b),5,Art8,(a.i),4,documentary evidence of the existence of a formal relationship between the applicant researcher and the research organisation of affiliation;,"a confirmation of affiliation to a research organisation as defined in Article 2, point (1), of Directive (EU) 2019/790 of the European Parliament and of the Council;"
Art8,2(c),6,Art8,(a.ii),5,"confirmation of affiliation, independence from commercial interests and access to the technical means necessary to meet the requirements set out in Article 40(8), point (d), of Regulation (EU) 2022/2065;",a declaration of independence from commercial interests relevant to the specific project for which the data are requested;
,,,Art8,(a.iii),6,,a commitment to making their research results publicly available free of charge.
Art8,3,7,Art8,(b),7,"information about funding, including both financial and non-financial contributions supporting the research project for which the data are requested;",information about funding supporting the research project for which the data are requested;
Art8,4,8,Art8,(f),11,"a description of the research project, including the research question, the systemic risks or mitigation measures studied and the planned research activities;",a description of the research activities to be conducted with the requested data;
Art8,5,9,Art8,(c),8,"information about the volume, scope, granularity and type of the data requested;","a description of the data requested, including format, scope and, where possible, the specific attributes, relevant metadata and data documentation, also considering the information made available pursuant to Article 6(4) of this Regulation;"
Art8,6,10,,,,an explanation as to why the research project cannot be carried out with alternative existing means such as using data available through other sources;,
Art8,7,11,Art8,(e),10,"the proposed safeguards to mitigate possible risks in terms of confidentiality, data security and personal data protection corresponding to the data requested, including as regards the modalities of access to and processing of the data;","information on the identified risks in terms of confidentiality, data security and personal data protection related to the data that would be accessed, a description of the technical, legal and organisational measures that will be put in place, including, where possible, suggested access modalities, to mitigate such risks when processing the requested data;"
Art8,8,12,Art8,(d),9,"an estimation of the required duration of the access, consistent with the described research activities and planned methodology;",information on the necessity and proportionality of the access to the data and the information on the time frames of the research for which the data are requested;
Art8,9,13,Art8,(g),12,"a summary of the data access application insofar as it is relevant to the vetted status that has been granted, including the following elements:",a summary of the data access application containing the following elements:
Art8,9,14,Art8,(g.i),13,"an abstract of the research topic, including the systemic risks studied;",the research topic;
Art8,9,15,Art8,(g.ii),14,the data provider from which data are requested for the purposes of carrying out the research project;,the data provider from which data are requested;
Art8,9,16,Art8,(g.iii),15,"a description of the data to be shared, including format, scope and, where possible, specific data points.","a description of the data requested, as referred to in point (c)."
Art9,title,0,Art9,title,0,Appropriate access modalities,Access modalities
Art9,1,1,Art9,1,1,The Digital Services Coordinator of establishment shall determine in the reasoned request the modalities according to which access to the data is to be granted by the data provider.,"The Digital Services Coordinator of establishment shall determine the modalities, including the technical, legal and organisational measures, that the data provider is to use for providing access to the data to the vetted researchers."
Art9,2,2,Art9,3,3,"When determining the access modalities, the Digital Services Coordinator of establishment shall take into account the sensitivity of the data requested, the rights and interests of the data provider, including the protection of confidential information, in particular trade secrets, and the security of its service.","When determining the access modalities, the Digital Services Coordinator of establishment shall take into account the information provided in the data access application, in particular the information referred to in Article 8, point (e), considering also the rights and interests of the data providers and the recipients of the service concerned, including the protection of confidential information, trade secrets, and maintaining the security of their service and the information made available by the data providers pursuant to Article 6(4), point (d)."
Art9,3,3,Art9,2,2,"Where providing access to data involves international data transfers, the Digital Services Coordinator of establishment shall consult the relevant supervisory authorities established pursuant to Article 51 of Regulation (EU) 2016/679, unless the international transfer in question is covered by an implementing act adopted pursuant to Article 45(3) Regulation (EU) 2016/679.",The Digital Services Coordinators shall be allowed to consult the relevant supervisory authorities established pursuant to Article 51 of Regulation (EU) 2016/679.
,,,Art9,4,4,,"In addition to the elements referred to in paragraph 3, the Digital Services Coordinator of establishment shall, when determining access modalities, take into account the following elements:
(a) where the access involves the processing of personal data:
i. the assessment of the risks concerning processing of personal data as described in Article 8(e), including, where applicable, data protection impact assessments within the meaning of Article 35 of Regulation (EU) 2016/679;
ii. envisaged technical and organisational measures as submitted pursuant to Article 8(e).
(b) relevant network security measures, encryption, access control mechanisms, backup policies, data integrity mechanisms, incident response plans;
(c) where applicable, information on the intended storage period and the relevant data destruction plans;
(d) any organisational measures such as internal review processes, restrictions of access rights and information sharing;
(e) any proposed contractual clauses, such as non-disclosure agreements, data agreements and any other type of written statements, laying down possible conditions of access and processing between the principal researcher and the data provider;
(f) existence of training on data security and protection of personal data received by the applicant researchers;
(g) Whether secure processing environments is necessary to process the data."
Art9,4,4,Art9,5,5,"Where, in accordance with the access modalities, a secure processing environment is used to grant access, the Digital Services Coordinator of establishment shall require documentation attesting that the operator of that environment:","Where the Digital Services Coordinator of establishment considers that a secure processing environment is to be used to provide access to the data requested, the Digital Services Coordinator of establishment shall require documentation attesting that the operator of that environment:"
Art9,4(a),5,Art9,5(a),6,"specifies access conditions to the secure processing environment in order to minimise the risk of the unauthorised reading, copying, modification or removal of the data hosted in the secure processing environment;","specifies access conditions to the secure processing environment in order to minimise the risk of the unauthorised reading, copying, modification or removal of the data hosted in the secure processing environment;"
Art9,4(b),6,Art9,5(b),7,"ensures that vetted researchers have access only to data covered by their reasoned request, by means of individual and unique user identities and confidential access modes;","ensures that vetted researchers have access only to data covered by the reasoned request, by means of individual and unique user identities and confidential access modes;"
Art9,4(c),7,Art9,5(c),8,keeps identifiable logs of access to the secure processing environment for the period necessary to verify and audit all processing operations in that environment;,keeps identifiable logs of access to the secure processing environment for the period necessary to verify and audit all processing operations in that environment; 
Art9,4(d),8,Art9,5(d),9,ensures that the computing power at the disposal of the vetted researchers is appropriate and sufficient for the purposes of the research project;,ensures that the computing power at the disposal of the vetted researchers is appropriate and sufficient for the purposes of the research project;
Art9,4(e),9,Art9,5(e),10,monitors effectiveness of measures listed in points (a) to (d).,monitors the effectiveness of the measures listed in points (a) to (d).
Art10,title,0,Art10,title,0,Content of the reasoned request,Content of a reasoned request
Art10,1,1,Art10,1,1,The reasoned request shall contain at least the following elements:,A reasoned request shall contain at least the following elements:
Art10,1(a),2,,,,the contact details of the principal researcher;,
Art10,1(b),3,Art10,1(a),2,the date by which the data provider shall give access to the data requested and the date on which such access shall be terminated;,the date by which the data provider shall give access to the data requested and the date on which such access shall be terminated;
Art10,1(c),4,Art10,,3,the access modalities for the sharing of the data with the vetted researchers;,the access modalities determined pursuant to Article 9;
Art10,1(d),5,Art10,,4,"the summary of the data access application referred to in Article 8, point (i).",the summary of the data access application referred to in Article 8 point (g);
